رتبه 1 تا 10:
شما در رشته محل های زیر بصورت خوشبینانه شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت
دندانپزشکی - دانشگاه علوم پزشکی زنجان - پردیس خودگردان یا ظرفیت مازاد	1448	504	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1466	508	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی خراسان شمالی - بجنورد - روزانه	1508	522	نظام جدید	مشهد	زن
دندانپزشکی - دانشگاه شاهد-تهران - روزانه	1512	523	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1512	523	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1520	528	نظام جدید	اصفهان	زن
دندانپزشکی - دانشگاه علوم پزشکی یاسوج - روزانه	1525	530	نظام جدید	شیراز	زن
دندانپزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	1542	535	نظام جدید	شیراز	مرد
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1547	537	نظام جدید	خنج	مرد
پزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	1561	542	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	1564	544	نظام جدید	شیراز	مرد
پزشکی - دانشگاه علوم پزشکی قزوین - روزانه	1564	544	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1580	551	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1587	553	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1608	559	نظام جدید	شیراز	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1632	563	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1632	563	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1632	563	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1640	566	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1655	571	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1659	573	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1659	573	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1674	579	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1682	582	نظام جدید	شیراز	مرد
پزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	1690	585	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی قزوین - روزانه	1693	588	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1693	588	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1693	588	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1704	592	نظام جدید	تبریز	مرد
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1710	594	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1713	595	نظام جدید	تبریز	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	1747	602	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1757	604	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1769	606	نظام جدید	شیراز	مرد
دندانپزشکی - دانشگاه علوم پزشکی تهران - مناطق محروم	1778	609	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی شهرکرد - روزانه	1795	610	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1795	610	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1808	615	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1815	618	نظام جدید	تهران	زن
داروسازی - دانشگاه علوم پزشکی تهران - روزانه	1820	621	نظام جدید	شهریار	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1822	623	نظام جدید	تهران	مرد
داروسازی - دانشگاه علوم پزشکی مشهد - روزانه	1829	625	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد تبریز - دانشگاه آزاد	1838	628	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1860	635	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه علوم پزشکی یزد - روزانه	1874	639	نظام جدید	شیراز	زن
دندانپزشکی - دانشگاه علوم پزشکی همدان - روزانه	1880	641	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1880	641	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1899	648	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1915	652	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1921	654	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	1925	655	نظام جدید	تبریز	زن
دندانپزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	1928	656	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه علوم پزشکی شهرکرد - روزانه	1949	662	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1953	665	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1960	667	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1967	670	نظام جدید	مشهد	مرد
داروسازی - دانشگاه علوم پزشکی شیراز - روزانه	1967	670	نظام جدید	شیراز	زن
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	1972	672	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی یزد - روزانه	1990	676	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1994	677	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی شهرکرد - روزانه	1994	677	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	2011	682	نظام جدید	شیراز	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	2019	687	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	2056	695	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	2061	697	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2068	698	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	2071	699	نظام جدید	مشهد	زن
داروسازی - دانشگاه علوم پزشکی شهید بهشتی - روزانه	2076	701	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	2097	705	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	2102	707	نظام جدید	شیراز	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	2105	709	نظام جدید	اصفهان	زن
داروسازی - دانشگاه علوم پزشکی شهید بهشتی - روزانه	2109	711	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2113	712	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	2118	714	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	2124	717	نظام جدید	تهران	زن
داروسازی - دانشگاه علوم پزشکی ایران - روزانه	2124	717	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2130	719	نظام جدید	تبریز	زن
دندانپزشکی - دانشگاه شاهد-تهران - پردیس خودگردان یا ظرفیت مازاد	2135	721	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	2147	726	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	2168	729	نظام جدید	شیراز	زن
دندانپزشکی - دانشگاه علوم پزشکی تبریز - پردیس خودگردان یا ظرفیت مازاد	2168	729	نظام جدید	تبریز	مرد
دندانپزشکی - دانشگاه علوم پزشکی سمنان - روزانه	2172	732	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2177	734	نظام جدید	تبریز	مرد
داروسازی - دانشگاه علوم پزشکی ایران - روزانه	2182	737	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی شهرکرد - روزانه	2182	737	نظام جدید	اصفهان	زن
دندانپزشکی - دانشگاه آزاد اسلامی واحد خوراسگان - دانشگاه آزاد	2182	737	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی یزد - روزانه	2194	742	نظام جدید	شاهین شهر	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	2194	742	نظام جدید	بستان آباد	مرد
دندانپزشکی - دانشگاه علوم پزشکی کرج - پردیس خودگردان یا ظرفیت مازاد	2198	744	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	2205	745	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	2205	745	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2209	747	نظام جدید	تهران	مرد
داروسازی - دانشگاه علوم پزشکی تبریز - روزانه	2218	750	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی کرمان - روزانه	2224	752	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه علوم پزشکی گلستان -گرگان - روزانه	2241	753	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	2251	756	نظام جدید	شیراز	مرد
شیمی محض - دانشگاه صنعتی شریف - تهران - روزانه	2265	759	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	2291	765	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2299	767	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی تبریز - پردیس خودگردان یا ظرفیت مازاد	2299	767	نظام جدید	تبریز	زن
دندانپزشکی - دانشگاه علوم پزشکی تبریز - مناطق محروم	2306	770	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	2311	774	نظام جدید	تبریز	زن
پزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	2311	774	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2351	787	نظام جدید	تهران	مرد
داروسازی - دانشگاه علوم پزشکی شهید بهشتی - روزانه	2359	790	نظام جدید	تهران	مرد
داروسازی - دانشگاه علوم پزشکی اصفهان - روزانه	2359	790	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	2359	790	نظام جدید	تبریز	مرد
داروسازی - دانشگاه علوم پزشکی شهید بهشتی - روزانه	2379	795	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه علوم پزشکی یزد - روزانه	2416	806	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2421	808	نظام جدید	تبریز	مرد
دندانپزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2425	810	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی خراسان شمالی - بجنورد - روزانه	2450	814	نظام جدید	مشهد	مرد
داروسازی - دانشگاه علوم پزشکی شیراز - روزانه	2457	815	نظام جدید	شیراز	مرد
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	2457	815	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2486	819	نظام جدید	تهرانسر	زن
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	2491	820	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2511	824	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2528	829	نظام جدید	تهران	مرد
داروسازی - دانشگاه علوم پزشکی مشهد - روزانه	2528	829	نظام جدید	مشهد	زن
دندانپزشکی - دانشگاه علوم پزشکی کرمان - روزانه	2536	832	نظام جدید	کرمان	مرد
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2543	835	نظام جدید	تبریز	مرد
دندانپزشکی - دانشگاه علوم پزشکی قزوین - روزانه	2543	835	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد خوراسگان - دانشگاه آزاد	2543	835	نظام جدید	اصفهان	مرد
داروسازی - دانشگاه علوم پزشکی تبریز - روزانه	2571	840	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - پردیس خودگردان یا ظرفیت مازاد	2576	842	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2576	842	نظام جدید	شیراز	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد خوراسگان - دانشگاه آزاد	2581	844	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2590	847	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2595	848	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - پردیس خودگردان یا ظرفیت مازاد	2606	851	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	2619	853	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	2625	855	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2625	855	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی بقیه الله - تهران - روزانه	2629	857	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی تبریز - مناطق محروم	2633	858	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی تبریز - پردیس خودگردان یا ظرفیت مازاد	2633	858	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2638	860	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2645	863	نظام جدید	تبریز	زن
دندانپزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2648	864	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی گلستان -گرگان - پردیس خودگردان یا ظرفیت مازاد	2652	865	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2659	867	نظام جدید	مشهد	زن
دندانپزشکی - دانشگاه آزاد اسلامی واحد خوراسگان - دانشگاه آزاد	2675	871	نظام جدید	اصفهان	زن
دندانپزشکی - دانشگاه علوم پزشکی قزوین - روزانه	2690	874	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2703	878	نظام جدید	تبریز	زن
دندانپزشکی - دانشگاه علوم پزشکی اراک - روزانه	2708	881	نظام جدید	تهران	زن
پزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	2708	881	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی قزوین - روزانه	2727	886	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2735	889	نظام جدید	تبریز	زن
دندانپزشکی - دانشگاه علوم پزشکی سمنان - روزانه	2743	891	نظام جدید	مشهد	مرد
دندانپزشکی - دانشگاه علوم پزشکی یزد - روزانه	2757	897	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی کرمان - روزانه	2763	899	نظام جدید	شیراز	زن
پزشکی - دانشگاه علوم پزشکی ارومیه - روزانه	2763	899	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - پردیس خودگردان یا ظرفیت مازاد	2768	903	نظام جدید	مشهد	زن
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	2792	906	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	2792	906	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی گیلان - رشت - روزانه	2798	908	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	2804	909	نظام جدید	مشهد	زن
دندانپزشکی - دانشگاه علوم پزشکی خراسان شمالی - بجنورد - روزانه	2813	912	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - پردیس خودگردان یا ظرفیت مازاد	2859	921	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی مشهد - پردیس خودگردان یا ظرفیت مازاد	2870	924	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	2883	927	نظام جدید	شیراز	زن
پزشکی - دانشگاه علوم پزشکی مازندران - ساری - روزانه	2904	933	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - پردیس خودگردان یا ظرفیت مازاد	2921	936	نظام جدید	مشهد	مرد

رتبه 10 تا 20:
شما در رشته محل های زیر بصورت خوشبینانه شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت
دندانپزشکی - دانشگاه علوم پزشکی شهید بهشتی - روزانه	19	8	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی تهران - روزانه	21	9	نظام جدید	تبریز	مرد

شما در رشته محل های زیر بصورت منطقی شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت
پزشکی - دانشگاه علوم پزشکی تهران - روزانه	21	9	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی تهران - روزانه	24	11	نظام جدید	اصفهان	مرد

شما در رشته محل های زیر بصورت بدبینانه شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1176	409	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1185	412	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1189	413	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1193	415	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1196	417	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1196	417	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1207	421	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1207	421	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1240	431	نظام جدید	اصفهان	زن
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1257	437	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی شهید بهشتی - پردیس خودگردان یا ظرفیت مازاد	1263	439	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1272	443	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1274	444	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	1290	447	نظام جدید	شیراز	مرد
دندانپزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1297	451	نظام جدید	مشهد	زن
داروسازی - دانشگاه علوم پزشکی تبریز - روزانه	1301	453	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1335	458	نظام جدید	رودهن	مرد
پزشکی - دانشگاه علوم پزشکی شهید بهشتی - پردیس خودگردان یا ظرفیت مازاد	1337	460	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1350	463	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1354	466	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی شهرکرد - روزانه	1354	466	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1362	469	نظام جدید	شیراز	زن
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	1365	470	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1367	472	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1373	474	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1378	475	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1385	479	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1385	479	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	1394	481	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی شهید بهشتی - پردیس خودگردان یا ظرفیت مازاد	1397	483	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1409	486	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1413	488	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1427	495	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1430	496	نظام جدید	اصفهان	مرد
داروسازی - دانشگاه علوم پزشکی تبریز - روزانه	1442	500	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1442	500	نظام جدید	قره‌ضیاءالدین	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1442	500	نظام جدید	مشهد	زن
دندانپزشکی - دانشگاه علوم پزشکی زنجان - پردیس خودگردان یا ظرفیت مازاد	1448	504	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1466	508	نظام جدید	تهران	زن
